District Code|Port Code|Name
|3883|CAPITAL REGION INTL AIRPORT, LANSING, MI
39||CHICAGO, IL
|3901|CHICAGO, IL
|3902|PEORIA, IL
|3905|GARY, IN
|3908|DAVENPORT-ROCK ISLAND
|3909|GREATER ROCKFORD AIRPORT
|3910|CHICAGO MIDWAY INT'L AIRPORT, IL
|3971|TNT EXPRESS CONSIGNMENT, CHICAGO, IL
|3983|CHICAGO EXECUTIVE AIRPORT, IL
|3984|DUPAGE AIRPORT, IL
|3987|UFA UI WILLARD AIRPORT, SAVOY, IL
41||CLEVELAND, OH
|4101|CLEVELAND, OH
|4102|CINCINNATI, OH
|4103|COLUMBUS, OH
|4104|DAYTON, OH
|4105|TOLEDO, OH
|4106|ERIE, PA
|4110|INDIANAPOLIS, IN
|4115|LOUISVILLE, KY
|4116|OWENSBORO, KY
|4117|HURON, OH
|4121|LORAIN, OH
|4122|ASHTABULA/CONNEAUT, OH
|4183|FORT WAYNE AIRPORT
|4184|BLUE GRASS AIRPORT
|4196|UPS COURIER
|4197|DHL CINCINNATI, OH
|4198|FEDEX, INDIANAPOLIS, IN
45||ST LOUIS, MO
|4501|KANSAS CITY, MO
|4502|ST JOSEPH, MO
|4503|ST LOUIS, MO
|4504|WICHITA, KS
|4505|SPRINGFIELD, MO
|4581|MIDAMERICAN AIRPORT, IL
46||NEWARK, NJ
|4601|NEWARK, NJ
|4602|PERTH AMBOY, NJ
|4670|UPS, NEWARK, NJ
|4671|FEDEX ECCF, NEWARK, NJ
|4681|MORRISTOWN AIRPORT, NJ
47||JAMAICA, NY
|4701|JOHN F KENNEDY INTL AIRPORT, NY
|4771|NYACC, JAMAICA, NY
|4772|DHL AIRWAYS, JAMAICA, NY
|4773|MICOM, JAMAICA, NY
|4774|AIR FRANCE (MACH PLUS), JAMAICA, NY
|4778|TNT SKYPAK, JAMAICA, NY
49||SAN JUAN, PR
|4901|AGUADILLA, PR
|4904|FAJARDO, PR
|4907|MAYAGUEZ, PR
|4908|PONCE, PR
|4909|SAN JUAN, PR
|4913|SAN JUAN INTL AIRPORT, PR
|4952|ST. THOMAS VI BORDER PATROL
51||VIRGIN ISLANDS OF THE UNITED STATES
|5101|CHARLOTTE AMALIE, VI
|5102|CRUZ BAY, VI
|5104|CHRISTIANSTED, VI
|5105|FREDERIKSTED, VI
52||MIAMI, FL
|5201|MIAMI, FL
|5202|KEY WEST, FL
|5203|PORT EVERGLADES, FL
|5204|WEST PALM BEACH, FL
|5205|FORT PIERCE, FL
|5206|MIAMI INTL AIRPORT
|5210|FT. LAUDERDALE-HOLLYWOOD INTL AIRP
|5295|UPS COURIER HUB, MIAMI, FL
|5296|DHL WORLDWIDE EXPRESS, MIAMI, FL
|5297|FEDEX COURIER HUB, MIAMI, FL
|5298|IBC COURIER HUB, FL
53||HOUSTON-GALVESTON, TX
|5301|HOUSTON, TX
|5306|TEXAS CITY, TX
|5309|HOUSTON INTERCONTL AIRP, TX
|5310|GALVESTON, TX
|5311|FREEPORT, TX
|5312|CORPUS CHRISTI, TX
|5313|PORT LAVACA, TX
|5381|SUGAR LAND REG AIRP, SUGAR LAND, TX
54||WASHINGTON, DC
|5401|WASHINGTON, DC
|5402|ALEXANDRIA, VA
55||DALLAS/FT. WORTH, TX
|5501|DALLAS/FT. WORTH, TX
|5502|AMARILLO, TX
|5503|LUBBOCK, TX
|5504|OKLAHOMA CITY, OK
|5505|TULSA, OK
|5506|AUSTIN, TX
|5507|SAN ANTONIO, TX
|5582|MIDLAND INTL AIRPORT, MIDLAND, TX
|5583|FORTH WORTH ALLIANCE  AIRP, TX
|5584|ADDISON AIRPORT, ADDISON, TX
|5588|DALLAS LOVE FIELD USER FEE AIRP, DALLAS, TX
60||VESSELS UNDER THEIR OWN POWER (IMPORTS AND EXPORTS)
70||LOW-VALUED IMPORTS AND EXPORTS
80||MAIL SHIPMENTS (EXPORT ONLY)
