index,crop_code,Class_Names,Crop_Name,kcal_kg,Erdas_Red,Erdas_Green,Erdas_Blue,ESRI_Red,ESRI_Green,ESRI_Blue,cam_category,group_desc,commodity_desc,class_desc,util_practice_desc,unit_desc,short_desc
233,crop_233,Dbl Crop Lettuce/Barley,,,0.8863,0,0.4863,226,0,127,food,,,,,,
231,crop_231,Dbl Crop Lettuce/Cantaloupe,,,1,0.4,0.4,255,102,102,food,,,,,,
232,crop_232,Dbl Crop Lettuce/Cotton,,,1,0.149,0.149,255,38,38,food,,,,,,
230,crop_230,Dbl Crop Lettuce/Durum Wht,,,0.5373,0.3882,0.3294,138,100,83,food,,,,,,
226,crop_226,Dbl Crop Oats/Corn,,,1,0.8275,0,255,212,0,food,,,,,,
239,crop_239,Dbl Crop Soybeans/Cotton,,,0.149,0.4431,0,38,115,0,food,,,,,,
240,crop_240,Dbl Crop Soybeans/Oats,,,0.149,0.4431,0,38,115,0,food,,,,,,
228,crop_228,Dbl Crop Triticale/Corn,,,1,0.8275,0,255,212,0,food,,,,,,
225,crop_225,Dbl Crop WinWht/Corn,,,1,0.8275,0,255,212,0,food,,,,,,
238,crop_238,Dbl Crop WinWht/Cotton,,,0.6471,0.4392,0,168,112,0,food,,,,,,
236,crop_236,Dbl Crop WinWht/Sorghum,,,0.6471,0.4392,0,168,112,0,food,,,,,,
26,crop_26,Dbl Crop WinWht/Soybeans,,,0.4431,0.4431,0,115,115,0,food,,,,,,
141,crop_141,Deciduous Forest,,,0.5765,0.8,0.5765,149,206,147,ecosystem,,,,,,
82,crop_82,Developed,,,0.6078,0.6078,0.6078,156,156,156,infrastructure,,,,,,
124,crop_124,Developed/High Intensity,,,0.6078,0.6078,0.6078,156,156,156,infrastructure,,,,,,
122,crop_122,Developed/Low Intensity,,,0.6078,0.6078,0.6078,156,156,156,infrastructure,,,,,,
123,crop_123,Developed/Med Intensity,,,0.6078,0.6078,0.6078,156,156,156,infrastructure,,,,,,
121,crop_121,Developed/Open Space,,,0.6078,0.6078,0.6078,156,156,156,infrastructure,,,,,,
22,crop_22,Durum Wheat,,,0.5373,0.3882,0.3294,138,100,83,food,,,,,,
142,crop_142,Evergreen Forest,,,0.5765,0.8,0.5765,149,206,147,ecosystem,,,,,,
61,crop_61,Fallow/Idle Cropland,,,0.749,0.749,0.4667,191,191,122,plant,,,,,,
63,crop_63,Forest,,,0.5765,0.8,0.5765,149,206,147,plant,,,,,,
249,crop_249,Gourds,,,1,0.4,0.4,255,102,102,food,,,,,,
176,crop_176,Grass/Pasture,,,0.9098,1,0.749,233,255,190,ecosystem,,,,,,
219,crop_219,Greens,,,1,0.4,0.4,255,102,102,food,,,,,,
195,crop_195,Herbaceous Wetlands,,,0.498,0.698,0.698,128,179,179,ecosystem,,,,,,
57,crop_57,Herbs,,,0.498,0.8275,1,128,212,255,food,FIELD CROPS,HERBS,DRY,ALL UTILIZATION PRACTICES,LB,"HERBS, DRY - PRODUCTION, MEASURED IN LB"
213,crop_213,Honeydew Melons,,,1,0.4,0.4,255,102,102,food,,,,,,
14,crop_14,Mint,,,0.498,0.8275,1,128,212,255,food,FIELD CROPS,MINT,ALL CLASSES,OIL,LB,"MINT, OIL - PRODUCTION, MEASURED IN LB"
47,crop_47,Misc Vegs & Fruits,,,1,0.4,0.4,255,102,102,food,,,,,,
143,crop_143,Mixed Forest,,,0.5765,0.8,0.5765,149,206,147,ecosystem,,,,,,
88,crop_88,Nonag/Undefined,,,0.9098,1,0.749,233,255,190,infrastructure,,,,,,
111,crop_111,Open Water,,,0.298,0.4392,0.6392,77,112,163,infrastructure,,,,,,
44,crop_44,Other Crops,,,0,0.6863,0.298,0,175,77,food,,,,,,
25,crop_25,Other Small Grains,,,0.8392,0.6196,0.7373,214,157,188,food,,,,,,
71,crop_71,Other Tree Crops,,,0.698,0.6078,0.4392,179,156,112,food,,,,,,
112,crop_112,Perennial Ice/Snow ,,,0.8275,0.8863,0.9765,212,227,252,ecosystem,,,,,,
217,crop_217,Pomegranates,,,0.698,0.6078,0.4392,179,156,112,food,,,,,,
13,crop_13,Pop or Orn Corn,,,0.8667,0.6471,0.0471,224,166,15,food,FIELD CROPS,POPCORN,ALL CLASSES,SHELLED,LB,"POPCORN, SHELLED - PRODUCTION, MEASURED IN LB"
34,crop_34,Rape Seed,,,0.8196,1,0,209,255,0,food,FIELD CROPS,RAPESEED,ALL CLASSES,ALL UTILIZATION PRACTICES,LB,"RAPESEED - PRODUCTION, MEASURED IN LB"
152,crop_152,Shrubland,,,0.7765,0.8392,0.6196,199,215,158,ecosystem,,,,,,
64,crop_64,Shrubland,,,0.7765,0.8392,0.6196,199,215,158,plant,,,,,,
59,crop_59,Sod/Grass Seed,,,0.6863,1,0.8667,178,255,222,plant,,,,,,
30,crop_30,Speltz,,,0.8392,0.6196,0.7373,214,157,188,food,FIELD CROPS,EMMER & SPELT,ALL CLASSES,ALL UTILIZATION PRACTICES,BU,"EMMER & SPELT - PRODUCTION, MEASURED IN BU"
23,crop_23,Spring Wheat,,,0.8471,0.7098,0.4196,217,181,108,food,,,,,,
45,crop_45,Sugarcane,,,0.698,0.498,1,179,128,255,food,FIELD CROPS,SUGARCANE,ALL CLASSES,SEED,TONS,"SUGARCANE, SEED - PRODUCTION, MEASURED IN TONS"
60,crop_60,Switchgrass,,,0,0.6863,0.298,0,175,77,plant,FIELD CROPS,SWITCHGRASS,ALL CLASSES,ALL UTILIZATION PRACTICES,TONS,"SWITCHGRASS - PRODUCTION, MEASURED IN TONS"
205,crop_205,Triticale,,,0.8392,0.6196,0.7373,214,157,188,food,FIELD CROPS,TRITICALE,ALL CLASSES,ALL UTILIZATION PRACTICES,BU,"TRITICALE - PRODUCTION, MEASURED IN BU"
247,crop_247,Turnips,,,1,0.4,0.4,255,102,102,food,,,,,,
224,crop_224,Vetch,,,0,0.6863,0.302,0,175,77,food,,,,,,
83,crop_83,Water,,,0.298,0.4392,0.6392,77,112,163,infrastructure,,,,,,
87,crop_87,Wetlands,,,0.498,0.698,0.698,128,179,179,ecosystem,,,,,,
24,crop_24,Winter Wheat,,,0.6471,0.4392,0,168,112,0,food,,,,,,
190,crop_190,Woody Wetlands,,,0.498,0.698,0.698,128,179,179,ecosystem,,,,,,
,,,,,,,,,,,,CROP TOTALS,CROP TOTALS,ALL CLASSES,ALL UTILIZATION PRACTICES,OPERATIONS,"CROP TOTALS, PRODUCTION CONTRACT - OPERATIONS WITH PRODUCTION"
,,,,,,,,,,,,FIELD CROPS,DILL,ALL CLASSES,OIL,LB,"DILL, OIL - PRODUCTION, MEASURED IN LB"
,,,,,,,,,,,,FIELD CROPS,GRASSES,BAHIA GRASS,SEED,LB,"GRASSES, BAHIA GRASS, SEED - PRODUCTION, MEASURED IN LB"
,,,,,,,,,,,,FIELD CROPS,"GRASSES & LEGUMES, OTHER",ALL CLASSES,SEED,LB,"GRASSES & LEGUMES, OTHER, SEED - PRODUCTION, MEASURED IN LB"
,,,,,,,,,,,,FIELD CROPS,GUAR,ALL CLASSES,ALL UTILIZATION PRACTICES,LB,"GUAR - PRODUCTION, MEASURED IN LB"
,,,,,,,,,,,,FIELD CROPS,HAY & HAYLAGE,ALL CLASSES,ALL UTILIZATION PRACTICES,"TONS, DRY BASIS","HAY & HAYLAGE - PRODUCTION, MEASURED IN TONS, DRY BASIS"
,,,,,,,,,,,,FIELD CROPS,HAYLAGE,(EXCL ALFALFA),ALL UTILIZATION PRACTICES,TONS,"HAYLAGE, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS"
,,,,,,,,,,,,FIELD CROPS,JOJOBA,ALL CLASSES,ALL UTILIZATION PRACTICES,LB,"JOJOBA - PRODUCTION, MEASURED IN LB"
,,,,,,,,,,,,FIELD CROPS,MAPLE SYRUP,ALL CLASSES,ALL UTILIZATION PRACTICES,GALLONS,"MAPLE SYRUP - PRODUCTION, MEASURED IN GALLONS"
,,,,,,,,,,,,FIELD CROPS,MISCANTHUS,ALL CLASSES,ALL UTILIZATION PRACTICES,TONS,"MISCANTHUS - PRODUCTION, MEASURED IN TONS"
,,,,,,,,,,,,FIELD CROPS,SESAME,ALL CLASSES,ALL UTILIZATION PRACTICES,LB,"SESAME - PRODUCTION, MEASURED IN LB"
,,,,,,,,,,,,FIELD CROPS,WILD RICE,ALL CLASSES,ALL UTILIZATION PRACTICES,CWT,"WILD RICE - PRODUCTION, MEASURED IN CWT"
