,crop_code,cdl_name,production_name,final_name,kcal_kg,red,green,blue,rollup,total_pixels,Crop_Area_ha,Production_kg,Production_kcal,Production_USD,Price_Received_USD_kg,kcal_pixel_national
11,crop_206,Carrots,CARROTS-ALL CLASSES,Carrots,365.0,255,102,102,,221591,36815.05463375153,1611340275.65,588139200612.25,717182159.585512,0.24900021858504684,2654165.560028386
12,crop_244,Cauliflower,CAULIFLOWER-ALL CLASSES,Cauliflower,98.0,255,102,102,,14190,18963.982193443975,417735552.4,40938084135.2,392360025.83527184,1.1160911025,2884995.3583650454
13,crop_245,Celery,CELERY-ALL CLASSES,Celery,138.0,255,102,102,,6896,13031.161473087792,741577560.8,102337703390.4,306277516.19144535,0.36008865199999995,14840154.203944314
14,crop_66,Cherries,CHERRIES-SWEET,Cherries,514.0,255,0,255,,750322,38377.175232699345,400748973.75,205984972507.5,852857058.8039991,2.374745331,274528.76565994334
15,crop_1,Corn,CORN-ALL CLASSES-GRAIN,Corn,3650.0,255,212,0,,373160347,33481586.402266283,371096469088.4,1354502112172660.0,46259243441.05639,0.1473619651202439,3629812.553938535
16,crop_250,Cranberries,CRANBERRIES-ALL CLASSES,Cranberries,451.0,255,102,102,,91241,16147.308781869688,380747392.76,171717074134.76,236670085.8122243,0.7328171505600001,1882016.5729744304
17,crop_50,Cucumbers,CUCUMBERS-ALL CLASSES,Cucumbers,146.0,255,102,102,,277898,49753.136382031604,892882257.18,130360809548.28,391391539.9981474,0.5315384683764706,469095.88967275765
18,crop_248,Eggplants,EGGPLANT-ALL CLASSES,Eggplants,203.0,255,102,102,,1766,2339.1339538648326,76384892.80000001,15506133238.4,60822595.78227064,0.6106809588,8780369.897168742
19,crop_32,Flaxseed,FLAXSEED-ALL CLASSES,Flaxseed,5340.0,128,153,255,,941807,111290.97531363826,98658260.8,526835112672.0,34208705.71971226,0.35293608333500004,559387.5525155367
20,crop_208,Garlic,GARLIC-ALL CLASSES,Garlic,1296.0,255,102,102,,90238,13678.672602185365,235323529.6,304979294361.60004,366351329.3027179,1.4642380389999998,3379721.3409162443
21,crop_69,Grapes,GRAPES-ALL CLASSES,Grapes,557.0,112,68,137,,4389297,404795.62929987814,6705140412.750001,3734763209901.7505,6083586835.297705,1.0893982140000003,850879.585022784
22,crop_52,Lentils,LENTILS-ALL CLASSES,Lentils,3520.0,0,222,176,,5087509,413597.73371104756,339377534.4,1194608921088.0,176295578.11403805,0.5864300904,234812.14894912226
23,crop_227,Lettuce,LETTUCE-HEAD,Lettuce,138.0,255,102,102,LETTUCE-HEAD; LETTUCE-LEAF; LETTUCE-ROMAINE,199129,135022.25819506258,4595998260.4,617134822396.0,4001478533.5296526,0.5938604911555556,3099171.00169237
24,crop_209,Cantaloupes,MELONS-CANTALOUP,Cantaloupes,173.0,255,102,102,,168005,26835.289356535788,719251762.56,124430554922.87999,283357891.14193684,0.4828127436,740636.0222783845
25,crop_48,Watermelons,MELONS-WATERMELON,Watermelons,156.0,255,102,102,,237007,48502.63051396195,1936270850.0,302058252600.0,561506261.6638594,0.2880709216,1274469.7523701831
26,crop_29,Millet,MILLET-PROSO,Millet,3780.0,115,0,76,,3108517,163091.8656414411,330922914.0,1250888614920.0,46142911.92937225,0.15477368744,402406.8759862018
27,crop_35,Mustard,MUSTARD-ALL CLASSES,Mustard,251.0,0,175,77,,373587,20234.7227842979,22448745.0,5634634995.0,0.0,,15082.524271454842
28,crop_218,Nectarines,NECTARINES-ALL CLASSES,Nectarines,400.0,255,145,171,,12235,6879.805746661267,128684192.25,51473676900.0,120524224.8976284,1.0543604715,4207084.340008173
29,crop_28,Oats,OATS-ALL CLASSES,Oats,3890.0,161,88,137,,7090564,340348.03723188996,750193260.0,2918251781400.0,135674247.86154324,0.19476020881083336,411568.35780623375
30,crop_211,Olives,OLIVES-ALL CLASSES,Olives,985.0,52,74,52,,158005,16187.7782274383,174451675.5,171834900367.5,174798086.083191,1.073650914,1087528.245103003
31,crop_49,Onions,ONIONS-DRY,Onions,360.0,255,204,102,,694693,62889.51841359774,3802280299.2,1368820907712.0,1011717053.834612,0.38101922243999997,1970396.8626601966
32,crop_212,Oranges,ORANGES-ALL CLASSES,Oranges,343.0,230,117,37,,3562420,213476.32537434218,4616186523.0,1583351977389.0,1814159355.995056,0.444617305719959,444459.6587120553
33,crop_67,Peaches,PEACHES-ALL CLASSES,Peaches,374.0,255,145,171,,200828,38777.82274382839,645072037.9499999,241256942193.30002,583234562.7042553,1.8107032904999998,1201311.2822579523
34,crop_10,Peanuts,PEANUTS-ALL CLASSES,Peanuts,5670.0,112,168,0,,5676394,718575.4755159859,3226909589.1000004,18296577370197.0,1524949531.6136055,0.5235927441549091,3223274.735720776
35,crop_77,Pears,PEARS-ALL CLASSES,Pears,513.0,179,156,112,,161044,19913.152569809798,681268719.45,349490853077.85,497972928.87314135,0.8955664479999998,2170157.5536986785
36,crop_53,Peas,PEAS-GREEN,Peas,1389.0,85,255,0,PEAS-GREEN; PEAS-DRY EDIBLE; PEAS-AUSTRIAN WINTER,6044885,485107.24403075647,931378608.58,1779728416210.6401,238390721.98453245,0.28597649442,294418.90395113226
37,crop_74,Pecans,PECANS-ALL CLASSES,Pecans,3662.0,182,112,92,,2725787,181077.29664103605,143313695.1,524814751456.2,674937183.547098,3.944492219065734,192536.9632536218
38,crop_216,Peppers,PEPPERS-CHILE,Peppers,292.0,255,102,102,,87772,6738.162687171177,154584153.60000002,45138572851.2,108472669.16988969,0.7905783098400001,514270.7566330948
39,crop_204,Pistachios,PISTACHIOS-ALL CLASSES,Pistachios,2968.0,0,255,140,,1786918,101173.613921489,272242053.0,808014413304.0,946789598.058732,3.72648894098,452183.2637558075
40,crop_220,Plums,PLUMS-ALL CLASSES,Plums,432.0,255,145,171,,239945,6070.41683528936,106957111.5,46205472168.0,110030284.800594,1.102311,192566.9306216008
41,crop_43,Potatoes,POTATOES-ALL CLASSES,Potatoes,578.0,115,38,0,,3739990,437960.3399433431,21013556584.0,12145835705552.0,3974376043.3175383,0.24158075970987114,3247558.337201971
43,crop_229,Pumpkins,PUMPKINS-ALL CLASSES,Pumpkins,182.0,255,102,102,,147013,29259.409146094684,722100320.32,131422258298.23999,187604918.05994254,0.4222820249175,893949.9112203682
44,crop_246,Radishes,RADISHES-ALL CLASSES,Radishes,144.0,255,102,102,,55109,5989.477944152168,61643152.800000004,8876614003.2,76883438.60247514,0.7578396375,161073.76296430713
45,crop_3,Rice,RICE-ALL CLASSES,Rice,3637.0,0,169,230,,9585870,960744.6377984624,8084279497.599999,29402524532771.2,2202882611.476173,0.28843835900000003,3067277.6214126833
46,crop_27,Rye,RYE-ALL CLASSES,Rye,3380.0,174,1,126,,2891576,150141.6430594901,296025584.8,1000566476624.0,45463627.18440546,0.11141205976999999,346028.0748712813
47,crop_33,Safflower,SAFFLOWER-ALL CLASSES,Safflower,2637.0,214,214,0,,745438,58761.63496560096,79829097.75,210509330766.75,30567625.336100712,0.3960975172,282396.83349487145
48,crop_4,Sorghum,SORGHUM-ALL CLASSES-GRAIN,Sorghum,3290.0,255,158,15,,23513578,2079724.807770134,9371594931.6,30832547324964.0,1113323652.6231072,0.12518026929692308,1311265.6578664463
49,crop_5,Soybeans,SOYBEANS-ALL CLASSES,Soybeans,4460.0,38,115,0,,367935660,36237150.951031975,120064797911.5,535488998685290.0,38551417418.18399,0.3436727497306451,1455387.604140599
50,crop_222,Squash,SQUASH-ALL CLASSES,Squash,210.0,255,102,102,,135440,20149.736948603815,387190667.12000006,81310040095.2,237986169.03200632,0.8491478314000002,600339.9298227997
51,crop_221,Strawberries,STRAWBERRIES-ALL CLASSES,Strawberries,301.0,255,102,102,,103006,23112.10036422504,1245427554.3999999,374873693874.39996,2738025040.929144,2.957960304797143,3639338.425668407
52,crop_41,Sugarbeets,SUGARBEETS-ALL CLASSES,Sugarbeets,700.0,169,0,230,,4746110,466208.01295022224,32743028205.0,22920119743500.0,1393837807.6118908,0.040296356493750005,4829243.263114424
53,crop_6,Sunflower,SUNFLOWER-ALL CLASSES,Sunflower,3154.0,255,255,0,,5530138,542331.0400647514,972778950.0,3068144808300.0,347532152.0037449,0.4180282808742857,554804.3843209699
54,crop_12,Sweet Corn,SWEET CORN-ALL CLASSES,Sweet Corn,310.0,224,166,15,,628641,199069.20275192222,3539124364.4799995,1097128552988.8,898300098.5311079,0.5958627333685714,1745238.622661901
55,crop_46,Sweet Potatoes,SWEET POTATOES-ALL CLASSES,Sweet Potatoes,619.0,115,38,0,,541786,67030.89167678411,1640657383.7333333,1015566920530.9335,604478040.0816762,0.4174951217081633,1874479.8140426911
56,crop_54,Tomatoes,TOMATOES-ALL CLASSES,Tomatoes,187.0,245,162,122,,609882,130627.27640631367,11256316392.4,2104931165378.8,1691760894.6331246,1.01136179493075,3451374.4714203733
57,crop_76,Walnuts,WALNUTS-ENGLISH,Walnuts,2943.0,235,214,176,,2356966,135572.642654796,571526550.0,1682002636650.0,1463990735.93462,2.74475439,713630.4200612142
58,crop_22,Winter Wheat,WHEAT-ALL CLASSES,Wheat,,168,112,0,crop_22; crop_23; crop_24,71993753,15198300.28328612,47379736105.0,158153559118490.0,7685253326.302463,0.17126094828380953,2196767.8100972176
59,crop_72,Citrus,GRAPEFRUIT-ALL CLASSES,Citrus,,255,255,128,GRAPEFRUIT-ALL CLASSES; LEMONS-ALL CLASSES; TANGELOS-ALL CLASSES; TANGERINES-ALL CLASSES,453184,75435.04653986251,2390500830.0,708387982812.0,781114481.3625929,0.4360958063424851,1563135.4655327636
