,State_Abbr,Year,Crop_Name,Price_Received_USD_kg,Crop_Area_ha,Production_kg,FIPS,kcal_kg,Production_kcal,Production_USD,crop_code,state_pixels,kcal_pixel_state
32,CA,2017,PUMPKINS-ALL CLASSES,0.3152612892,1780.65560501821,65861558.4,6,182.0,11986803628.8,19377648.7719139,crop_229,5718.0,2096328.021825813
33,CA,2001,RADISHES-ALL CLASSES,0.540132978,647.511129097531,16692185.6,6,144.0,2403674726.4,13115760.9589207,crop_246,0.0,
34,CA,2017,SQUASH-ALL CLASSES,0.77161854,3116.14730878187,59375192.8,6,210.0,12468790488.0,42756890.8322851,crop_222,4898.0,2545690.1772151897
35,CA,2017,SAFFLOWER-ALL CLASSES,0.418878636,22460.5422905706,47822629.5,6,2637.0,126108273991.5,18694768.5417114,crop_33,270426.0,466331.913320095
36,CA,2017,APPLES-ALL CLASSES,0.734272672986,5261.02792391744,104307300.0,6,468.0,48815816400.0,71477688.4884168,crop_68,701.0,69637398.57346648
37,CA,2017,BLUEBERRIES-TAME,4.8510506924,2670.98340752732,28584735.3,6,542.0,15492926532.6,129410173.024348,crop_242,377.0,41095295.84244032
38,CA,2017,NECTARINES-ALL CLASSES,0.995386833,6475.11129097531,119748420.0,6,400.0,47899368000.0,111239778.007563,crop_218,12014.0,3986962.5436990177
39,CA,2017,OLIVES-ALL CLASSES,1.073650914,16187.7782274383,174451675.5,6,985.0,171834900367.5,174798086.083191,crop_211,151840.0,1131684.011903978
40,CA,2017,PEACHES-ALL CLASSES,0.772720011,15904.4921084581,501673305.0,6,374.0,187625816070.0,361777523.272305,crop_67,32120.0,5841401.4965753425
41,CA,2017,PEARS-ALL CLASSES,0.552257811,4249.29178470255,176901075.0,6,513.0,90750251475.0,91173949.7336222,crop_77,37325.0,2431353.020093771
42,CA,2017,PECANS-ALL CLASSES,5.0715529966,1456.90004046945,2267550.0,6,3662.0,8303768100.0,10732385.6589214,crop_74,4132.0,2009624.4191674734
43,CA,2017,PLUMS-ALL CLASSES,1.102311,6070.41683528936,106957111.5,6,432.0,46205472168.0,110030284.800594,crop_220,235847.0,195912.91035289827
44,CA,2017,SUNFLOWER-ALL CLASSES,0.4651757484,21772.5617159045,23267330.55,6,3154.0,73385160554.7,10100946.1259693,crop_6,204174.0,359424.61113902845
45,CA,2017,ONIONS-DRY,0.3042381672,18130.3116147309,955083315.2,6,360.0,343829993472.0,271177332.498776,crop_49,216033.0,1591562.3699712544
46,DE,2017,SWEET CORN-ALL CLASSES,0.2843965476,4370.70012140834,68583110.4,10,310.0,21260764224.0,18202872.5156729,crop_12,0.0,
47,DE,2017,BARLEY-ALL CLASSES,0.1331961561,7284.50020234723,33311772.0,10,3530.0,117590555160.0,4140834.3478073,crop_21,1205.0,97585522.95435685
48,DE,2017,CORN-ALL CLASSES-GRAIN,0.15826024038,69202.7519222987,820941382.8,10,3650.0,2996436047220.0,121250182.123316,crop_1,854054.0,3508485.4672187003
49,DE,2014,POTATOES-ALL CLASSES,0.3262844112,485.633346823148,15785001.6,10,578.0,9123730924.8,3939768.96089111,crop_43,3034.0,3007162.466974291
50,DE,1989,RYE-ALL CLASSES,0.11219942415,809.388911371914,1778084.0,10,3380.0,6009923920.0,271636.61077042,crop_27,167.0,35987568.38323353
51,DE,2017,SOYBEANS-ALL CLASSES,0.33767521873,63941.7239983812,219302499.0,10,4460.0,978089145540.0,69110048.9307599,crop_5,677257.0,1444192.0061955801
52,DE,2017,WHEAT-ALL CLASSES,0.17012364121,24281.6673411574,119203890.0,10,3338.0,397902584820.0,18925768.6760979,crop_22,0.0,
53,DE,2017,MELONS-WATERMELON,0.176369952,1578.30837717523,49532246.4,10,156.0,7727030438.4,8152880.02424627,crop_48,19996.0,386428.8076815363
54,DE,2001,MELONS-CANTALOUP,0.44092488,84.985835694051,997902.4,10,173.0,172637115.2,640077.065430911,crop_209,162.0,1065661.2049382715
55,DE,2004,SORGHUM-ALL CLASSES-GRAIN,0.0749572296,404.694455685957,2108299.6,10,3290.0,6936305684.0,193535.092251428,crop_4,3747.0,1851162.4456898852
56,DE,2016,CUCUMBERS-ALL CLASSES,0.3439214064,1052.20558478349,10496118.88,10,146.0,1532433356.48,3471884.2994244,crop_50,2697.0,568199.2422988506
57,FL,2017,CUCUMBERS-ALL CLASSES,0.5709977196,10481.5864022663,240834672.4,12,146.0,35161862170.4,128336979.974617,crop_50,3432.0,10245297.835198136
58,FL,2017,CORN-ALL CLASSES-GRAIN,0.17597593893,14973.6948603804,151314948.4,12,3650.0,552299561660.0,24850409.8142399,crop_1,257011.0,2148933.5540502155
59,FL,2017,ORANGES-ALL CLASSES,0.36694730705259,148725.212464589,2810684205.0,12,343.0,964064682315.0,962529808.405439,crop_212,2813482.0,342658.9124490578
60,FL,2017,PEANUTS-ALL CLASSES,0.504950276618,74868.4743019021,289452757.5,12,5670.0,1641197135025.0,136403255.532062,crop_10,835909.0,1963368.183647981
61,FL,2017,POTATOES-ALL CLASSES,0.3836046456,11614.730878187,325452260.0,12,578.0,188111406280.0,116511710.923423,crop_43,22524.0,8351598.573965548
62,FL,2017,SOYBEANS-ALL CLASSES,0.32518233795,5665.7223796034,12954578.0,12,4460.0,57777417880.0,3931412.8191628,crop_5,38787.0,1489607.8036455514
63,FL,2017,WHEAT-ALL CLASSES,0.146975068,4046.94455685957,10069735.0,12,3338.0,33612775430.0,1381211.35934125,crop_22,0.0,
64,FL,2017,CABBAGE-ALL CLASSES,0.341716782,3480.37231889923,140432083.2,12,200.0,28086416640.0,44784845.0782429,crop_243,6435.0,4364633.51048951
65,FL,1998,CARROTS-ALL CLASSES,0.07716177,2266.28895184136,31751440.0,12,365.0,11589275600.0,3536803.00074349,crop_206,0.0,
66,FL,2001,EGGPLANT-ALL CLASSES,0.738549174,647.511129097531,18143680.0,12,203.0,3683167040.0,19493256.0835777,crop_248,0.0,
67,FL,2017,MELONS-WATERMELON,0.3880138944,8903.27802509106,394171448.0,12,156.0,61490745888.0,142735128.483095,crop_48,8369.0,7347442.452861751
68,FL,2017,STRAWBERRIES-ALL CLASSES,3.08515138536,3844.59732901659,96955290.0,12,301.0,29183542290.0,279155647.938712,crop_221,42643.0,684368.8832868232
69,FL,2017,SWEET CORN-ALL CLASSES,0.639341076,15783.0837717523,247661232.0,12,310.0,76774981920.0,147770950.439464,crop_12,0.0,
70,FL,2017,TOMATOES-ALL CLASSES,0.68762235036,11331.4447592068,381017280.0,12,187.0,71250231360.0,244508007.650232,crop_54,285.0,250000811.78947368
71,FL,2001,RADISHES-ALL CLASSES,1.1508139368,3439.90287333064,28939169.6,12,144.0,4167240422.4,48447433.0824656,crop_246,0.0,
72,FL,2017,SQUASH-ALL CLASSES,0.8884636332,3035.20841764468,44225220.0,12,210.0,9287296200.0,36669761.7161969,crop_222,3102.0,2993970.4061895553
73,FL,2017,BLUEBERRIES-TAME,9.32724746766,2104.41116956698,9101945.7,12,542.0,4933254569.4,79229364.0120314,crop_242,328.0,15040410.272560975
74,FL,2012,PECANS-ALL CLASSES,2.079336728606,3670.98340752732,907020.0,12,3662.0,3321507240.0,1479407.79187851,crop_74,22070.0,150498.74218396013
75,FL,2017,SWEET POTATOES-ALL CLASSES,0.4265948214,2293.26858222042,41291991.7333333,12,619.0,25559742882.9333,16439168.2672959,crop_46,27201.0,939661.8831268447
76,FL,2017,MELONS-CANTALOUP,0.396832392,890.327802509106,25945462.4,12,173.0,4488564995.2,9608751.45714739,crop_209,260.0,17263711.52
77,IL,2017,SWEET CORN-ALL CLASSES,0.1355844006,5746.66127074059,86953586.4,17,310.0,26955611784.0,11002608.3665124,crop_12,0.0,
78,IL,2017,CORN-ALL CLASSES-GRAIN,0.13424562679,4431404.28976123,55906771140.0,17,3650.0,204059714661000.0,7004271752.51948,crop_1,45248940.0,4509712.595720475
79,IL,2017,OATS-ALL CLASSES,0.23355149733,8093.88911371914,22933700.0,17,3890.0,89212093000.0,4998678.59160612,crop_28,25066.0,3559087.728397032
80,IL,2017,POTATOES-ALL CLASSES,0.22046244,3278.02509105625,150637903.2,17,578.0,87068708049.6,30993263.0042604,crop_43,33292.0,2615304.218719212
81,IL,1999,RYE-ALL CLASSES,0.07716170924,2832.8611898017,5156443.6,17,3380.0,17428779368.0,610567.888903704,crop_27,10815.0,1611537.620711974
82,IL,2017,SORGHUM-ALL CLASSES-GRAIN,0.14043457428,6070.41683528936,31624494.0,17,3290.0,104044585260.0,4144728.21451343,crop_4,16825.0,6183927.801485884
83,IL,2017,SOYBEANS-ALL CLASSES,0.3527401632,4269526.50748685,16653164450.0,17,4460.0,74273113447000.0,5482139875.33563,crop_5,40149965.0,1849892.3584864894
84,IL,2017,WHEAT-ALL CLASSES,0.16865389053,190206.3941724,972137660.0,17,3338.0,3244995509080.0,153010967.688191,crop_22,0.0,
