,crop_code,cdl_name,production_name,final_name,kcal_kg,red,green,blue,rollup,total_pixels,Crop_Area_ha,Production_kg,Production_kcal,Production_USD,Price_Received_USD_kg,kcal_pixel_national
34,crop_10,Peanuts,PEANUTS-ALL CLASSES,Peanuts,5670.0,112,168,0,,3743857,718575.4755159859,3226909589.1000004,18296577370197.0,1524949531.6136055,0.5235927441549091,4887093.008679818
35,crop_77,Pears,PEARS-ALL CLASSES,Pears,513.0,179,156,112,,119416,19913.152569809798,681268719.45,349490853077.85,497972928.87314135,0.8955664479999998,2926666.8878362193
36,crop_53,Peas,PEAS-GREEN,Peas,1389.0,85,255,0,PEAS-GREEN; PEAS-DRY EDIBLE; PEAS-AUSTRIAN WINTER,1287394,485107.24403075647,931378608.58,1779728416210.6401,238390721.98453245,0.28597649442,1382427.1483404771
37,crop_74,Pecans,PECANS-ALL CLASSES,Pecans,3662.0,182,112,92,,2333561,181077.29664103605,143313695.1,524814751456.2,674937183.547098,3.944492219065734,224898.66408300446
38,crop_216,Peppers,PEPPERS-CHILE,Peppers,292.0,255,102,102,,44827,6738.162687171177,154584153.60000002,45138572851.2,108472669.16988969,0.7905783098400001,1006950.562187967
39,crop_204,Pistachios,PISTACHIOS-ALL CLASSES,Pistachios,2968.0,0,255,140,,183,101173.613921489,272242053.0,808014413304.0,946789598.058732,3.72648894098,4415379307.672132
40,crop_220,Plums,PLUMS-ALL CLASSES,Plums,432.0,255,145,171,,2920,6070.41683528936,106957111.5,46205472168.0,110030284.800594,1.102311,15823791.838356165
41,crop_43,Potatoes,POTATOES-ALL CLASSES,Potatoes,578.0,115,38,0,,1296472,437960.3399433431,21013556584.0,12145835705552.0,3974376043.3175383,0.24158075970987114,9368374.870843334
43,crop_229,Pumpkins,PUMPKINS-ALL CLASSES,Pumpkins,182.0,255,102,102,,36475,29259.409146094684,722100320.32,131422258298.23999,187604918.05994254,0.4222820249175,3603077.6778132967
44,crop_246,Radishes,RADISHES-ALL CLASSES,Radishes,144.0,255,102,102,,43935,5989.477944152168,61643152.800000004,8876614003.2,76883438.60247514,0.7578396375,202039.69507681805
45,crop_3,Rice,RICE-ALL CLASSES,Rice,3637.0,0,169,230,,1914663,960744.6377984624,8084279497.599999,29402524532771.2,2202882611.476173,0.28843835900000003,15356501.135067215
46,crop_27,Rye,RYE-ALL CLASSES,Rye,3380.0,174,1,126,,1514381,150141.6430594901,296025584.8,1000566476624.0,45463627.18440546,0.11141205976999999,660709.8719701316
47,crop_33,Safflower,SAFFLOWER-ALL CLASSES,Safflower,2637.0,214,214,0,,142425,58761.63496560096,79829097.75,210509330766.75,30567625.336100712,0.3960975172,1478036.3754028436
48,crop_4,Sorghum,SORGHUM-ALL CLASSES-GRAIN,Sorghum,3290.0,255,158,15,,11569810,2079724.807770134,9371594931.6,30832547324964.0,1113323652.6231072,0.12518026929692308,2664913.885791037
49,crop_5,Soybeans,SOYBEANS-ALL CLASSES,Soybeans,4460.0,38,115,0,,129803384,36237150.951031975,120064797911.5,535488998685290.0,38551417418.18399,0.3436727497306451,4125385.50370374
50,crop_222,Squash,SQUASH-ALL CLASSES,Squash,210.0,255,102,102,,37425,20149.736948603815,387190667.12000006,81310040095.2,237986169.03200632,0.8491478314000002,2172612.9617955913
51,crop_221,Strawberries,STRAWBERRIES-ALL CLASSES,Strawberries,301.0,255,102,102,,2728,23112.10036422504,1245427554.3999999,374873693874.39996,2738025040.929144,2.957960304797143,137417043.2090909
52,crop_41,Sugarbeets,SUGARBEETS-ALL CLASSES,Sugarbeets,700.0,169,0,230,,198872,466208.01295022224,32743028205.0,22920119743500.0,1393837807.6118908,0.040296356493750005,115250612.17013958
53,crop_6,Sunflower,SUNFLOWER-ALL CLASSES,Sunflower,3154.0,255,255,0,,2938803,542331.0400647514,972778950.0,3068144808300.0,347532152.0037449,0.4180282808742857,1044011.7314090125
54,crop_12,Sweet Corn,SWEET CORN-ALL CLASSES,Sweet Corn,310.0,224,166,15,,626784,199069.20275192222,3539124364.4799995,1097128552988.8,898300098.5311079,0.5958627333685714,1750409.3164292644
55,crop_46,Sweet Potatoes,SWEET POTATOES-ALL CLASSES,Sweet Potatoes,619.0,115,38,0,,412636,67030.89167678411,1640657383.7333333,1015566920530.9335,604478040.0816762,0.4174951217081633,2461168.973455863
56,crop_54,Tomatoes,TOMATOES-ALL CLASSES,Tomatoes,187.0,245,162,122,,12559,130627.27640631367,11256316392.4,2104931165378.8,1691760894.6331246,1.01136179493075,167603405.15795845
57,crop_76,Walnuts,WALNUTS-ENGLISH,Walnuts,2943.0,235,214,176,,1947,135572.642654796,571526550.0,1682002636650.0,1463990735.93462,2.74475439,863894523.1895224
58,crop_22,Winter Wheat,WHEAT-ALL CLASSES,Wheat,,168,112,0,crop_22; crop_23; crop_24,4122004,15198300.28328612,47379736105.0,158153559118490.0,7685253326.302463,0.17126094828380953,38368123.640464686
59,crop_72,Citrus,GRAPEFRUIT-ALL CLASSES,Citrus,,255,255,128,GRAPEFRUIT-ALL CLASSES; LEMONS-ALL CLASSES; TANGELOS-ALL CLASSES; TANGERINES-ALL CLASSES,27461,75435.04653986251,2390500830.0,708387982812.0,781114481.3625929,0.4360958063424851,25796146.637485888
