SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
50,3,5,51,89,Virginia,Henry County,50948,50782,50248,-166,-534,90,362,234,862,-144,-500,1,-1,-18,-40,-17,-41,-5,7,501,501,501,7.166188261,17.06423835,-9.898050084,-0.0197961,-0.791844007,-0.811640107
50,3,5,51,91,Virginia,Highland County,2232,2236,2226,4,-10,2,18,8,39,-6,-21,0,0,10,11,10,11,0,0,0,0,0,8.068130883,17.48095025,-9.412819364,0,4.930524429,4.930524429
50,3,5,51,93,Virginia,Isle of Wight County,38606,38658,39278,52,620,90,326,124,458,-34,-132,2,37,87,724,89,761,-3,-9,270,270,270,8.365838637,11.75323342,-3.387394785,0.949497023,18.57934716,19.52884418
50,3,5,51,95,Virginia,James City County,78254,78412,79882,158,1470,193,727,220,851,-27,-124,0,50,197,1561,197,1611,-12,-17,1054,1054,1054,9.185439751,10.75214474,-1.566704992,0.631735884,19.72279429,20.35453018
50,3,5,51,97,Virginia,King and Queen County,6608,6590,6662,-18,72,21,63,32,121,-11,-58,0,0,-6,132,-6,132,-1,-2,0,0,0,9.507998793,18.26139451,-8.753395714,0,19.92152128,19.92152128
50,3,5,51,99,Virginia,King George County,26723,26806,27489,83,683,71,285,58,211,13,74,1,4,68,613,69,617,1,-8,212,212,212,10.49820426,7.772354729,2.725849526,0.147343218,22.5803481,22.72769132
50,3,5,51,101,Virginia,King William County,17810,17905,18171,95,266,38,187,46,190,-8,-3,0,3,102,267,102,270,1,-1,57,57,57,10.36700299,10.53331855,-0.166315556,0.166315556,14.80208449,14.96840004
50,3,5,51,103,Virginia,Lancaster County,10919,10910,10928,-9,18,22,70,59,241,-37,-171,0,0,31,190,31,190,-3,-1,165,165,165,6.410843484,22.07161828,-15.6607748,0,17.40086089,17.40086089
50,3,5,51,105,Virginia,Lee County,22173,22084,21983,-89,-101,42,193,80,403,-38,-210,0,-1,-49,109,-49,108,-2,1,1313,1313,1313,8.759389112,18.29033063,-9.530941521,-0.045385436,4.947012504,4.901627068
50,3,5,51,107,Virginia,Loudoun County,420959,422597,427592,1638,4995,1235,4654,490,2046,745,2608,53,643,803,1651,856,2294,37,93,1463,1463,1463,10.94815388,4.813047452,6.135106429,1.512604844,3.883842299,5.396447143
