geography,geographic_area_name,total_population,agesex_male_total,agesex_female_total,agesex_male_kids,agesex_male_adults,agesex_female_kids,agesex_female_adults,agesex_kid_total,agesex_adult_total,income_total_population_determined,income_low_income,income_high_income,income_unknown_income,race_total_population_determined,race_black-african_american,race_hispanic-latino,race_white,race_other_race,race_unknown_race
0500000US01083,"Limestone County, Alabama",101217,50760,50457,12357,38403,12507,37950,24864,76353,97894,23291,74603,3323,97894,11962,6111,74621,5200,3323
0500000US01085,"Lowndes County, Alabama",10334,4966,5368,1394,3572,1150,4218,2544,7790,10171,5124,5047,163,10171,7628,16,2510,17,163
0500000US01087,"Macon County, Alabama",19490,8967,10523,2335,6632,2336,8187,4671,14819,17112,6921,10191,2378,17112,13963,43,2743,363,2378
0500000US01089,"Madison County, Alabama",382149,187919,194230,48014,139905,46208,148022,94222,287927,372128,85818,286310,10021,372128,88037,19457,240606,24028,10021
0500000US01091,"Marengo County, Alabama",19397,9328,10069,2647,6681,2360,7709,5007,14390,19170,8674,10496,227,19170,9824,522,8575,249,227
0500000US01093,"Marion County, Alabama",29392,14630,14762,3607,11023,3276,11486,6883,22509,28908,11434,17474,484,28908,1040,771,26358,739,484
0500000US01095,"Marshall County, Alabama",97179,48293,48886,13966,34327,13034,35852,27000,70179,95947,34012,61935,1232,95947,2653,14178,76645,2471,1232
0500000US01097,"Mobile County, Alabama",414620,198400,216220,54686,143714,53230,162990,107916,306704,408140,147720,260420,6480,408140,147058,12110,229410,19562,6480
0500000US01099,"Monroe County, Alabama",20115,9620,10495,2476,7144,2617,7878,5093,15022,19875,8505,11370,240,19875,8402,73,10683,717,240
0500000US01101,"Montgomery County, Alabama",229072,108382,120690,30878,77504,29728,90962,60606,168466,221128,78946,142182,7944,221128,129144,8015,71937,12032,7944
0500000US01103,"Morgan County, Alabama",122608,60653,61955,15910,44743,15036,46919,30946,91662,120432,38429,82003,2176,120432,15423,10483,90207,4319,2176
0500000US01105,"Perry County, Alabama",8702,4012,4690,1181,2831,1374,3316,2555,6147,7898,4467,3431,804,7898,5845,70,2045,-62,804
0500000US01107,"Pickens County, Alabama",19240,9190,10050,2081,7109,2064,7986,4145,15095,17568,7193,10375,1672,17568,7412,230,9709,217,1672
