geography,geographic_area_name,total_population,agesex_male_total,agesex_female_total,agesex_male_kids,agesex_male_adults,agesex_female_kids,agesex_female_adults,agesex_kid_total,agesex_adult_total,income_total_population_determined,income_low_income,income_high_income,income_unknown_income,race_total_population_determined,race_black-african_american,race_hispanic-latino,race_white,race_other_race,race_unknown_race
0500000US13107,"Emanuel County, Georgia",22739,11396,11343,3353,8043,3148,8195,6501,16238,21787,9333,12454,952,21787,6929,1036,12921,901,952
0500000US13109,"Evans County, Georgia",10761,5428,5333,1848,3580,1242,4091,3090,7671,10290,4422,5868,471,10290,2839,1268,5798,385,471
0500000US13111,"Fannin County, Georgia",25198,12291,12907,2244,10047,2140,10767,4384,20814,24977,8971,16006,221,24977,53,630,23385,909,221
0500000US13113,"Fayette County, Georgia",117828,57493,60335,15677,41816,14751,45584,30428,87400,116752,16534,100218,1076,116752,27896,8705,69482,10669,1076
0500000US13115,"Floyd County, Georgia",98210,47604,50606,12882,34722,12978,37628,25860,72350,93898,34112,59786,4312,93898,12746,11205,66207,3740,4312
0500000US13117,"Forsyth County, Georgia",245754,122634,123120,37298,85336,35488,87632,72786,172968,244915,26959,217956,839,244915,9128,23409,166246,46132,839
0500000US13119,"Franklin County, Georgia",23256,11464,11792,3074,8390,2667,9125,5741,17515,22717,8475,14242,539,22717,1895,1169,18886,767,539
0500000US13121,"Fulton County, Georgia",1054286,512476,541810,131676,380800,128460,413350,260136,794150,1021572,260953,760619,32714,1021572,444079,73579,400050,103864,32714
0500000US13123,"Gilmer County, Georgia",31047,15468,15579,3184,12284,3209,12370,6393,24654,30772,9133,21639,275,30772,119,3678,26290,685,275
0500000US13125,"Glascock County, Georgia",2903,1336,1567,321,1015,430,1137,751,2152,2839,1043,1796,64,2839,273,51,2484,31,64
0500000US13127,"Glynn County, Georgia",84373,39799,44574,10080,29719,10072,34502,20152,64221,82913,25414,57499,1460,82913,20846,5618,52575,3874,1460
0500000US13129,"Gordon County, Georgia",57274,28134,29140,7434,20700,7615,21525,15049,42225,56605,22873,33732,669,56605,1720,9363,43450,2072,669
0500000US13131,"Grady County, Georgia",26076,13039,13037,3838,9201,3084,9953,6922,19154,25872,10808,15064,204,25872,7358,2987,15024,503,204
0500000US13133,"Greene County, Georgia",18461,9206,9255,2161,7045,1719,7536,3880,14581,18285,5478,12807,176,18285,6000,1180,10662,443,176
0500000US13135,"Gwinnett County, Georgia",948505,465111,483394,142320,322791,138063,345331,280383,668122,941554,237648,703906,6951,941554,265131,203757,330476,142190,6951
0500000US13137,"Habersham County, Georgia",45767,21624,24143,5768,15856,6084,18059,11852,33915,43319,14057,29262,2448,43319,763,7205,33135,2216,2448
0500000US13139,"Hall County, Georgia",201703,100746,100957,28447,72299,27182,73775,55629,146074,199714,55561,144153,1989,199714,13920,57918,119001,8875,1989
0500000US13141,"Hancock County, Georgia",8652,4746,3906,487,4259,795,3111,1282,7370,6369,2956,3413,2283,6369,4633,11,1719,6,2283
0500000US13143,"Haralson County, Georgia",29685,14667,15018,3876,10791,3812,11206,7688,21997,29284,8223,21061,401,29284,1348,610,26427,899,401
0500000US13145,"Harris County, Georgia",34316,17328,16988,4521,12807,3806,13182,8327,25989,33775,5948,27827,541,33775,5191,1356,25854,1374,541
0500000US13147,"Hart County, Georgia",25808,12824,12984,3008,9816,2817,10167,5825,19983,24969,8542,16427,839,24969,4749,945,18673,602,839
0500000US13149,"Heard County, Georgia",11440,5686,5754,1493,4193,1275,4479,2768,8672,11289,3980,7309,151,11289,1096,317,9577,299,151
0500000US13151,"Henry County, Georgia",236615,113248,123367,34342,78906,32620,90747,66962,169653,235062,51920,183142,1553,235062,109888,17291,92366,15517,1553
0500000US13153,"Houston County, Georgia",161177,78639,82538,23399,55240,21842,60696,45241,115936,158920,39778,119142,2257,158920,50119,10462,87125,11214,2257
0500000US13155,"Irwin County, Georgia",9615,5193,4422,1352,3841,1103,3319,2455,7160,9352,3591,5761,263,9352,2549,364,6306,133,263
0500000US13157,"Jackson County, Georgia",73839,36805,37034,10644,26161,9845,27189,20489,53350,72988,17997,54991,851,72988,5347,6325,58304,3012,851
0500000US13159,"Jasper County, Georgia",14478,7090,7388,1935,5155,1738,5650,3673,10805,14314,5502,8812,164,14314,2626,582,10664,442,164
0500000US13161,"Jeff Davis County, Georgia",14753,7425,7328,2290,5135,2026,5302,4316,10437,14676,6640,8036,77,14676,1913,1865,10363,535,77
0500000US13163,"Jefferson County, Georgia",15708,7638,8070,2145,5493,2092,5978,4237,11471,15200,6217,8983,508,15200,8054,610,6254,282,508
0500000US13165,"Jenkins County, Georgia",8693,4254,4439,1032,3222,933,3506,1965,6728,7964,4212,3752,729,7964,2270,647,4940,107,729
0500000US13167,"Johnson County, Georgia",9272,5527,3745,1264,4263,706,3039,1970,7302,8451,3614,4837,821,8451,2732,194,5312,213,821
0500000US13169,"Jones County, Georgia",28297,13884,14413,3821,10063,3323,11090,7144,21153,28037,7768,20269,260,28037,6789,534,19872,842,260
0500000US13171,"Lamar County, Georgia",18482,9043,9439,2537,6506,2350,7089,4887,13595,17174,5290,11884,1308,17174,4456,463,11555,700,1308
0500000US13173,"Lanier County, Georgia",9874,4782,5092,1257,3525,1294,3798,2551,7323,9589,4828,4761,285,9589,2123,656,6498,312,285
0500000US13175,"Laurens County, Georgia",49202,23517,25685,6918,16599,6496,19189,13414,35788,48240,21120,27120,962,48240,18426,1269,27653,892,962
0500000US13177,"Lee County, Georgia",32547,16384,16163,4995,11389,4665,11498,9660,22887,31227,6120,25107,1320,31227,6661,945,22287,1334,1320
0500000US13179,"Liberty County, Georgia",64334,32540,31794,10159,22381,9647,22147,19806,44528,61986,23178,38808,2348,61986,25917,7769,23155,5145,2348
0500000US13181,"Lincoln County, Georgia",7686,3766,3920,883,2883,824,3096,1707,5979,7588,3172,4416,98,7588,2180,154,5107,147,98
0500000US13183,"Long County, Georgia",16398,8502,7896,2812,5690,2374,5522,5186,11212,16081,6499,9582,317,16081,3660,1840,9073,1508,317
0500000US13185,"Lowndes County, Georgia",117437,57004,60433,16935,40069,16620,43813,33555,83882,113052,45721,67331,4385,113052,41573,6710,59979,4790,4385
0500000US13187,"Lumpkin County, Georgia",33188,16217,16971,4109,12108,4207,12764,8316,24872,31702,8881,22821,1486,31702,201,1611,28870,1020,1486
0500000US13189,"McDuffie County, Georgia",21727,10244,11483,2883,7361,2945,8538,5828,15899,21509,8731,12778,218,21509,8764,729,11433,583,218
0500000US13191,"McIntosh County, Georgia",11291,5691,5600,1145,4546,816,4784,1961,9330,11170,4505,6665,121,11170,3606,277,6929,358,121
0500000US13193,"Macon County, Georgia",12330,6577,5753,1194,5383,1429,4324,2623,9707,10296,4902,5394,2034,10296,5998,482,3612,204,2034
0500000US13195,"Madison County, Georgia",29906,14592,15314,3635,10957,3876,11438,7511,22395,29670,11057,18613,236,29670,2483,1822,23915,1450,236
0500000US13197,"Marion County, Georgia",7563,3658,3905,722,2936,1076,2829,1798,5765,7466,3026,4440,97,7466,2244,606,4358,258,97
0500000US13199,"Meriwether County, Georgia",20659,9977,10682,2535,7442,2482,8200,5017,15642,20500,9240,11260,159,20500,8066,516,11611,307,159
0500000US13201,"Miller County, Georgia",5984,2861,3123,740,2121,719,2404,1459,4525,5846,2182,3664,138,5846,1577,178,3955,136,138
0500000US13205,"Mitchell County, Georgia",21940,11597,10343,2751,8846,2617,7726,5368,16572,19681,9336,10345,2259,19681,9092,693,9312,584,2259
0500000US13207,"Monroe County, Georgia",27825,14032,13793,3524,10508,3203,10590,6727,21098,26633,7318,19315,1192,26633,5656,575,19701,701,1192
0500000US13209,"Montgomery County, Georgia",8701,4375,4326,1265,3110,1101,3225,2366,6335,7866,3304,4562,835,7866,1766,584,5418,98,835
0500000US13211,"Morgan County, Georgia",19694,9676,10018,2587,7089,2277,7741,4864,14830,19367,3477,15890,327,19367,4263,629,14115,360,327
0500000US13213,"Murray County, Georgia",39853,19947,19906,5591,14356,5232,14674,10823,29030,39323,13473,25850,530,39323,232,6123,31877,1091,530
0500000US13215,"Muscogee County, Georgia",204366,99765,104601,29320,70445,27311,77290,56631,147735,197913,74478,123435,6453,197913,91914,15668,77040,13291,6453
0500000US13217,"Newton County, Georgia",111262,52796,58466,16556,36240,15855,42611,32411,78851,109616,31542,78074,1646,109616,50119,6578,47872,5047,1646
0500000US13219,"Oconee County, Georgia",41006,20336,20670,6322,14014,5772,14898,12094,28912,40727,4709,36018,279,40727,1435,2293,33986,3013,279
0500000US13221,"Oglethorpe County, Georgia",14779,7544,7235,2127,5417,1570,5665,3697,11082,14610,4322,10288,169,14610,2526,785,10946,353,169
0500000US13223,"Paulding County, Georgia",165688,81084,84604,23874,57210,23376,61228,47250,118438,164651,29154,135497,1037,164651,33368,11759,111301,8223,1037
0500000US13225,"Peach County, Georgia",27822,13598,14224,3947,9651,3831,10393,7778,20044,25918,9069,16849,1904,25918,11220,2108,12214,376,1904
0500000US13227,"Pickens County, Georgia",32814,16472,16342,3886,12586,3266,13076,7152,25662,32578,8874,23704,236,32578,382,1047,28087,3062,236
0500000US13229,"Pierce County, Georgia",19644,9906,9738,2920,6986,2476,7262,5396,14248,19472,8069,11403,172,19472,1933,982,16370,187,172
0500000US13231,"Pike County, Georgia",18754,9248,9506,2599,6649,2321,7185,4920,13834,18458,3744,14714,296,18458,1531,317,16137,473,296
0500000US13233,"Polk County, Georgia",42692,20936,21756,5920,15016,5946,15810,11866,30826,42439,16100,26339,253,42439,5212,5717,30357,1153,253
0500000US13235,"Pulaski County, Georgia",10001,4461,5540,1035,3426,909,4631,1944,8057,8566,2890,5676,1435,8566,3054,385,5032,95,1435
0500000US13237,"Putnam County, Georgia",21870,10448,11422,2100,8348,2614,8808,4714,17156,21732,7467,14265,138,21732,5794,1365,14151,422,138
0500000US13239,"Quitman County, Georgia",2249,1160,1089,157,1003,136,953,293,1956,2249,893,1356,0,2249,1176,32,912,129,0
0500000US13241,"Rabun County, Georgia",16731,8207,8524,1518,6689,1601,6923,3119,13612,16444,6115,10329,287,16444,171,1317,14462,494,287
0500000US13243,"Randolph County, Georgia",6503,3018,3485,909,2109,1020,2465,1929,4574,6250,3791,2459,253,6250,4086,117,1934,113,253
0500000US13245,"Richmond County, Georgia",205772,100200,105572,28052,72148,25810,79762,53862,151910,195580,78960,116620,10192,195580,110810,9486,64301,10983,10192
0500000US13247,"Rockdale County, Georgia",92983,43990,48993,12869,31121,12499,36494,25368,67615,92044,29185,62859,939,92044,51847,9581,26133,4483,939
0500000US13249,"Schley County, Georgia",4622,2232,2390,537,1695,639,1751,1176,3446,4622,1555,3067,0,4622,1172,189,3151,110,0
0500000US13251,"Screven County, Georgia",14028,6790,7238,1567,5223,1724,5514,3291,10737,13629,5552,8077,399,13629,5594,329,7517,189,399
0500000US13253,"Seminole County, Georgia",9108,4389,4719,1095,3294,865,3854,1960,7148,9008,3601,5407,100,9008,2953,320,5543,192,100
0500000US13255,"Spalding County, Georgia",66722,32204,34518,8739,23465,8246,26272,16985,49737,65491,23872,41619,1231,65491,22323,3275,37257,2636,1231
0500000US13257,"Stephens County, Georgia",26641,12820,13821,3176,9644,3403,10418,6579,20062,25483,8958,16525,1158,25483,2726,941,20918,898,1158
0500000US13259,"Stewart County, Georgia",5347,3683,1664,428,3255,279,1385,707,4640,3378,1563,1815,1969,3378,2370,33,918,57,1969
0500000US13261,"Sumter County, Georgia",29690,13978,15712,3818,10160,4164,11548,7982,21708,27656,12459,15197,2034,27656,14123,1644,10904,985,2034
0500000US13263,"Talbot County, Georgia",5837,2813,3024,546,2267,616,2408,1162,4675,5805,2508,3297,32,5805,3279,38,2356,132,32
0500000US13265,"Taliaferro County, Georgia",1574,778,796,115,663,91,705,206,1368,1574,696,878,0,1574,877,64,541,92,0
0500000US13267,"Tattnall County, Georgia",23211,13512,9699,3003,10509,2287,7412,5290,17921,19066,7402,11664,4145,19066,3986,2544,11879,657,4145
0500000US13269,"Taylor County, Georgia",7857,3832,4025,1025,2807,755,3270,1780,6077,7708,3781,3927,149,7708,3085,59,4438,126,149
0500000US13271,"Telfair County, Georgia",12860,7541,5319,1647,5894,1348,3971,2995,9865,9990,4878,5112,2870,9990,3377,785,5777,51,2870
0500000US13273,"Terrell County, Georgia",9102,4550,4552,1375,3175,962,3590,2337,6765,8784,4188,4596,318,8784,5031,252,3112,389,318
0500000US13275,"Thomas County, Georgia",45669,21795,23874,6080,15715,5772,18102,11852,33817,45076,14612,30464,593,45076,16341,1736,25958,1041,593
0500000US13277,"Tift County, Georgia",41148,20065,21083,6217,13848,5842,15241,12059,29089,39156,16438,22718,1992,39156,11631,4961,20975,1589,1992
0500000US13279,"Toombs County, Georgia",26956,12662,14294,4052,8610,3944,10350,7996,18960,26601,11703,14898,355,26601,6879,3154,15689,879,355
0500000US13281,"Towns County, Georgia",12300,5844,6456,1024,4820,1103,5353,2127,10173,11426,3361,8065,874,11426,135,314,10841,136,874
0500000US13283,"Treutlen County, Georgia",6410,3586,2824,1076,2510,724,2100,1800,4610,6042,2933,3109,368,6042,1572,32,4371,67,368
0500000US13285,"Troup County, Georgia",69483,33316,36167,9647,23669,9178,26989,18825,50658,67841,25082,42759,1642,67841,24733,2627,37679,2802,1642
0500000US13287,"Turner County, Georgia",8856,4323,4533,1205,3118,1172,3361,2377,6479,8568,4304,4264,288,8568,3249,437,4538,344,288
0500000US13289,"Twiggs County, Georgia",8034,3997,4037,890,3107,855,3182,1745,6289,7984,2396,5588,50,7984,3311,68,4386,219,50
0500000US13291,"Union County, Georgia",24183,11896,12287,2223,9673,2101,10186,4324,19859,23629,8693,14936,554,23629,66,880,22175,508,554
0500000US13293,"Upson County, Georgia",27424,13247,14177,3773,9474,3259,10918,7032,20392,26587,10535,16052,837,26587,7754,645,17686,502,837
0500000US13295,"Walker County, Georgia",67772,33474,34298,8480,24994,7647,26651,16127,51645,66214,23483,42731,1558,66214,2419,1614,60084,2097,1558
0500000US13297,"Walton County, Georgia",95453,46597,48856,12896,33701,12796,36060,25692,69761,94356,23620,70736,1097,94356,17323,4682,68741,3610,1097
0500000US13299,"Ware County, Georgia",36084,18151,17933,5060,13091,4726,13207,9786,26298,33570,15175,18395,2514,33570,9582,1515,21568,905,2514
0500000US13301,"Warren County, Georgia",5218,2470,2748,538,1932,613,2135,1151,4067,5152,2246,2906,66,5152,3115,0,1950,87,66
0500000US13303,"Washington County, Georgia",20052,10283,9769,2498,7785,2342,7427,4840,15212,18144,8670,9474,1908,18144,9271,372,7889,612,1908
0500000US13305,"Wayne County, Georgia",30118,15237,14881,4032,11205,4144,10737,8176,21942,28201,11647,16554,1917,28201,4622,1766,20611,1202,1917
0500000US13307,"Webster County, Georgia",2372,1170,1202,271,899,297,905,568,1804,2368,1068,1300,4,2368,922,405,973,68,4
0500000US13309,"Wheeler County, Georgia",7568,5140,2428,1460,3680,635,1793,2095,5473,7390,3432,3958,178,7390,2454,695,4195,46,178
0500000US13311,"White County, Georgia",27886,13782,14104,3202,10580,2929,11175,6131,21755,27211,7339,19872,675,27211,390,776,24896,1149,675
0500000US13313,"Whitfield County, Georgia",103076,51621,51455,15138,36483,14453,37002,29591,73485,101659,38520,63139,1417,101659,3280,37063,58128,3188,1417
0500000US13315,"Wilcox County, Georgia",8841,5442,3399,1083,4359,865,2534,1948,6893,6884,3277,3607,1957,6884,1810,244,4717,113,1957
0500000US13317,"Wilkes County, Georgia",9643,4713,4930,1134,3579,1057,3873,2191,7452,9506,3929,5577,137,9506,3877,521,4866,242,137
0500000US13319,"Wilkinson County, Georgia",8931,4273,4658,1110,3163,1164,3494,2274,6657,8798,3770,5028,133,8798,3408,240,4906,244,133
0500000US13321,"Worth County, Georgia",20824,9951,10873,2485,7466,2470,8403,4955,15869,20507,7496,13011,317,20507,5667,478,13824,538,317
0500000US15001,"Hawaii County, Hawaii",200468,99868,100600,24331,75537,23018,77582,47349,153119,197496,54405,143091,2972,197496,1414,26602,59173,110307,2972
0500000US15003,"Honolulu County, Hawaii",1015167,513520,501647,123421,390099,115096,386551,238517,776650,982273,175652,806621,32894,982273,22654,98908,168527,692184,32894
0500000US15005,"Kalawao County, Hawaii",48,26,22,1,25,0,22,1,47,43,12,31,5,43,2,3,11,27,5
0500000US15007,"Kauai County, Hawaii",73247,36530,36717,9060,27470,8457,28260,17517,55730,72329,16137,56192,918,72329,382,8361,21232,42354,918
0500000US15009,"Maui County, Hawaii",164568,82228,82340,20182,62046,18703,63637,38885,125683,162577,31431,131146,1991,162577,1044,19063,48203,94267,1991
0500000US16001,"Ada County, Idaho",485246,244102,241144,64450,179652,61420,179724,125870,359376,475109,96251,378858,10137,475109,5963,40384,397408,31354,10137
0500000US16003,"Adams County, Idaho",4321,2260,2061,404,1856,336,1725,740,3581,4284,1315,2969,37,4284,6,167,3912,199,37
0500000US16005,"Bannock County, Idaho",86362,43309,43053,13032,30277,12307,30746,25339,61023,84158,25915,58243,2204,84158,544,7678,69636,6300,2204
0500000US16007,"Bear Lake County, Idaho",6327,3181,3146,986,2195,927,2219,1913,4414,6280,1848,4432,47,6280,14,269,5806,191,47
0500000US16009,"Benewah County, Idaho",9509,4851,4658,1185,3666,1118,3540,2303,7206,9375,3516,5859,134,9375,61,397,7897,1020,134
0500000US16011,"Bingham County, Idaho",47540,23821,23719,8072,15749,7886,15833,15958,31582,46990,15526,31464,550,46990,14,8703,34444,3829,550
0500000US16013,"Blaine County, Idaho",23868,12377,11491,3347,9030,2431,9060,5778,18090,23827,6137,17690,41,23827,128,5569,17078,1052,41
0500000US16015,"Boise County, Idaho",7549,3832,3717,673,3159,732,2985,1405,6144,7531,1751,5780,18,7531,17,392,6652,470,18
0500000US16017,"Bonner County, Idaho",46481,23300,23181,5116,18184,4866,18315,9982,36499,46060,13244,32816,421,46060,133,1634,42073,2220,421
0500000US16019,"Bonneville County, Idaho",121771,61261,60510,20866,40395,19587,40923,40453,81318,120707,34365,86342,1064,120707,489,16503,98766,4949,1064
0500000US16021,"Boundary County, Idaho",11966,6019,5947,1645,4374,1370,4577,3015,8951,11887,3438,8449,79,11887,26,629,10558,674,79
0500000US16023,"Butte County, Idaho",2573,1330,1243,342,988,309,934,651,1922,2544,1009,1535,29,2544,0,167,2305,72,29
0500000US16025,"Camas County, Idaho",1044,454,590,144,310,182,408,326,718,1044,335,709,0,1044,0,76,926,42,0
0500000US16027,"Canyon County, Idaho",227367,113257,114110,35937,77320,34386,79724,70323,157044,224206,70988,153218,3161,224206,1116,57965,153712,11413,3161
0500000US16029,"Caribou County, Idaho",7003,3558,3445,1083,2475,1015,2430,2098,4905,6915,1395,5520,88,6915,0,453,6294,168,88
0500000US16031,"Cassia County, Idaho",24469,12487,11982,4285,8202,4096,7886,8381,16088,24177,8204,15973,292,24177,14,6720,16437,1006,292
0500000US16033,"Clark County, Idaho",839,441,398,166,275,79,319,245,594,839,288,551,0,839,6,329,410,94,0
0500000US16035,"Clearwater County, Idaho",8719,4851,3868,850,4001,690,3178,1540,7179,7895,2451,5444,824,7895,27,320,7141,407,824
0500000US16037,"Custer County, Idaho",4273,2277,1996,398,1879,402,1594,800,3473,4244,1541,2703,29,4244,3,192,3746,303,29
0500000US16039,"Elmore County, Idaho",28396,15017,13379,4445,10572,3615,9764,8060,20336,27459,10376,17083,937,27459,699,4950,19350,2460,937
0500000US16041,"Franklin County, Idaho",14036,7359,6677,2723,4636,2233,4444,4956,9080,13913,4037,9876,123,13913,0,979,12523,411,123
0500000US16043,"Fremont County, Idaho",13370,6980,6390,1917,5063,1813,4577,3730,9640,12810,3101,9709,560,12810,13,1512,10986,299,560
0500000US16045,"Gem County, Idaho",18692,9425,9267,2532,6893,2130,7137,4662,14030,18212,4817,13395,480,18212,18,1478,15542,1174,480
0500000US16047,"Gooding County, Idaho",15422,7855,7567,2169,5686,2409,5158,4578,10844,15310,5302,10008,112,15310,2,4580,10159,569,112
0500000US16049,"Idaho County, Idaho",16494,8729,7765,1878,6851,1652,6113,3530,12964,15928,5548,10380,566,15928,9,532,14465,922,566
0500000US16051,"Jefferson County, Idaho",30427,15435,14992,5680,9755,5481,9511,11161,19266,30358,9126,21232,69,30358,21,3233,26117,987,69
0500000US16053,"Jerome County, Idaho",24081,12144,11937,3915,8229,4010,7927,7925,16156,23873,8747,15126,208,23873,18,8962,14186,707,208
0500000US16055,"Kootenai County, Idaho",168317,83674,84643,21738,61936,20371,64272,42109,126208,166430,41112,125318,1887,166430,378,8395,147027,10630,1887
0500000US16057,"Latah County, Idaho",39464,20185,19279,4837,15348,5042,14237,9879,29585,36415,11099,25316,3049,36415,432,1635,31611,2737,3049
0500000US16059,"Lemhi County, Idaho",7948,4153,3795,913,3240,756,3039,1669,6279,7827,2328,5499,121,7827,0,237,7331,259,121
0500000US16061,"Lewis County, Idaho",3613,1739,1874,396,1343,514,1360,910,2703,3596,1409,2187,17,3596,39,176,2927,454,17
0500000US16063,"Lincoln County, Idaho",5184,2735,2449,818,1917,730,1719,1548,3636,5140,1751,3389,44,5140,0,1630,3309,201,44
0500000US16065,"Madison County, Idaho",50979,26114,24865,8421,17693,8880,15985,17301,33678,50663,22491,28172,316,50663,246,4044,44442,1931,316
0500000US16067,"Minidoka County, Idaho",21393,10777,10616,3432,7345,3370,7246,6802,14591,21227,8385,12842,166,21227,12,7622,12916,677,166
0500000US16069,"Nez Perce County, Idaho",41820,20740,21080,5301,15439,4891,16189,10192,31628,40862,11577,29285,958,40862,45,1753,35348,3716,958
0500000US16071,"Oneida County, Idaho",4514,2241,2273,631,1610,666,1607,1297,3217,4490,912,3578,24,4490,3,202,4141,144,24
0500000US16073,"Owyhee County, Idaho",11815,6173,5642,1961,4212,1493,4149,3454,8361,11672,4062,7610,143,11672,37,3044,8026,565,143
0500000US16075,"Payette County, Idaho",24928,12435,12493,3658,8777,3562,8931,7220,17708,24671,7142,17529,257,24671,48,4347,18921,1355,257
0500000US16077,"Power County, Idaho",7854,3931,3923,1232,2699,1443,2480,2675,5179,7818,3161,4657,36,7818,3,2702,4746,367,36
0500000US16079,"Shoshone County, Idaho",13124,6569,6555,1449,5120,1563,4992,3012,10112,12918,4837,8081,206,12918,99,503,11651,665,206
0500000US16081,"Teton County, Idaho",11490,6012,5478,1450,4562,1435,4043,2885,8605,11478,2868,8610,12,11478,0,1879,9270,329,12
0500000US16083,"Twin Falls County, Idaho",89128,44204,44924,13600,30604,13077,31847,26677,62451,88051,27627,60424,1077,88051,572,15080,67607,4792,1077
0500000US16085,"Valley County, Idaho",11476,5753,5723,961,4792,1168,4555,2129,9347,11352,3961,7391,124,11352,3,531,10701,117,124
0500000US16087,"Washington County, Idaho",10425,5182,5243,1346,3836,1293,3950,2639,7786,10330,4382,5948,95,10330,8,1747,8084,491,95
0500000US17001,"Adams County, Illinois",65878,32414,33464,8394,24020,8051,25413,16445,49433,64573,16800,47773,1305,64573,2472,1068,58979,2054,1305
0500000US17003,"Alexander County, Illinois",5488,2652,2836,644,2008,785,2051,1429,4059,5364,2354,3010,124,5364,1803,62,3374,125,124
0500000US17005,"Bond County, Illinois",16804,8877,7927,2036,6841,1668,6259,3704,13100,14807,4501,10306,1997,14807,421,455,13735,196,1997
0500000US17007,"Boone County, Illinois",53592,26786,26806,7518,19268,7362,19444,14880,38712,52988,12297,40691,604,52988,1363,12162,38026,1437,604
0500000US17009,"Brown County, Illinois",6330,4067,2263,630,3437,544,1719,1174,5156,4437,1236,3201,1893,4437,0,201,4171,65,1893
0500000US17011,"Bureau County, Illinois",33338,16417,16921,3950,12467,3850,13071,7800,25538,32845,9174,23671,493,32845,182,3162,28425,1076,493
0500000US17013,"Calhoun County, Illinois",4537,2334,2203,522,1812,517,1686,1039,3498,4421,755,3666,116,4421,6,32,4264,119,116
0500000US17015,"Carroll County, Illinois",15586,7842,7744,1745,6097,1662,6082,3407,12179,14712,4201,10511,874,14712,88,456,13634,534,874
0500000US17017,"Cass County, Illinois",13058,6562,6496,1799,4763,1710,4786,3509,9549,12919,4053,8866,139,12919,451,2575,9548,345,139
0500000US17019,"Champaign County, Illinois",206583,103293,103290,27806,75487,26228,77062,54034,152549,191377,62716,128661,15206,191377,25605,11293,126434,28045,15206
0500000US17021,"Christian County, Illinois",34038,17451,16587,4076,13375,3830,12757,7906,26132,32222,9386,22836,1816,32222,336,369,30918,599,1816
0500000US17023,"Clark County, Illinois",15587,7765,7822,2040,5725,1894,5928,3934,11653,15311,3041,12270,276,15311,92,256,14797,166,276
0500000US17025,"Clay County, Illinois",13313,6645,6668,1703,4942,1643,5025,3346,9967,13089,4469,8620,224,13089,46,21,12525,497,224
0500000US17027,"Clinton County, Illinois",37048,19318,17730,4496,14822,4174,13556,8670,28378,34885,6837,28048,2163,34885,279,955,32731,920,2163
0500000US17029,"Coles County, Illinois",47542,23096,24446,5510,17586,5578,18868,11088,36454,43948,15154,28794,3594,43948,957,1114,40517,1360,3594
0500000US17031,"Cook County, Illinois",5265398,2570478,2694920,649553,1920925,627082,2067838,1276635,3988763,5179874,1409889,3769985,85524,5179874,1184427,1335005,2153075,507367,85524
0500000US17033,"Crawford County, Illinois",18825,10107,8718,2092,8015,1964,6754,4056,14769,16656,4432,12224,2169,16656,67,203,16041,345,2169
0500000US17035,"Cumberland County, Illinois",10528,5369,5159,1378,3991,1220,3939,2598,7930,10346,2027,8319,182,10346,0,110,9967,269,182
0500000US17037,"DeKalb County, Illinois",100922,50067,50855,13617,36450,13365,37490,26982,73940,96616,25786,70830,4306,96616,6827,11352,73745,4692,4306
0500000US17039,"De Witt County, Illinois",15653,7851,7802,1829,6022,1849,5953,3678,11975,15373,3859,11514,280,15373,94,447,14579,253,280
0500000US17041,"Douglas County, Illinois",19708,9777,9931,2676,7101,2743,7188,5419,14289,19352,5016,14336,356,19352,119,1414,17372,447,356
0500000US17043,"DuPage County, Illinois",934094,461851,472243,120778,341073,114914,357329,235692,698402,921231,130855,790376,12863,921231,44854,134215,602182,139980,12863
0500000US17045,"Edgar County, Illinois",16998,8432,8566,1914,6518,1792,6774,3706,13292,16675,4957,11718,323,16675,49,217,16150,259,323
0500000US17047,"Edwards County, Illinois",6233,3079,3154,761,2318,791,2363,1552,4681,6186,1657,4529,47,6186,12,83,5933,158,47
0500000US17049,"Effingham County, Illinois",34576,17305,17271,4609,12696,4391,12880,9000,25576,34019,8035,25984,557,34019,181,760,32415,663,557
0500000US17051,"Fayette County, Illinois",21514,11408,10106,2600,8808,2409,7697,5009,16505,20015,7077,12938,1499,20015,181,214,19276,344,1499
0500000US17053,"Ford County, Illinois",13589,6754,6835,1771,4983,1646,5189,3417,10172,13161,3748,9413,428,13161,81,491,12192,397,428
0500000US17055,"Franklin County, Illinois",38068,18912,19156,4783,14129,4466,14690,9249,28819,37289,13317,23972,779,37289,192,686,35524,887,779
0500000US17057,"Fulton County, Illinois",34022,17869,16153,3760,14109,3618,12535,7378,26644,31593,9792,21801,2429,31593,150,606,30181,656,2429
0500000US17059,"Gallatin County, Illinois",5038,2490,2548,578,1912,563,1985,1141,3897,5035,1494,3541,3,5035,11,76,4807,141,3
0500000US17061,"Greene County, Illinois",12187,6177,6010,1450,4727,1419,4591,2869,9318,11868,3842,8026,319,11868,26,135,11521,186,319
0500000US17063,"Grundy County, Illinois",52364,26245,26119,7548,18697,6906,19213,14454,37910,51791,8944,42847,573,51791,625,5492,43929,1745,573
0500000US17065,"Hamilton County, Illinois",8021,3883,4138,848,3035,982,3156,1830,6191,7929,2536,5393,92,7929,9,132,7570,218,92
0500000US17067,"Hancock County, Illinois",17750,8955,8795,2155,6800,1896,6899,4051,13699,17517,4581,12936,233,17517,89,287,16757,384,233
0500000US17069,"Hardin County, Illinois",3700,1948,1752,311,1637,266,1486,577,3123,3623,1085,2538,77,3623,0,46,3514,63,77
